R2all,d2,k2,k3,k7
0.833992859,14.51542389,0.000999425,0.000833489,9.417592603
0.833973964,1.990871355,0.000109989,0.001288546,20.40973062
0.833876101,1.167172808,0.000150713,0.000551442,21.72782745
0.833805525,8.169514179,0.000119001,0.004885399,8.072839283
0.833231383,1.487995503,0.000609326,0.000139991,17.57889814
0.832957224,2.292681518,0.000290569,0.000451128,1.087824288
0.832668114,14.28037266,0.000603184,0.001689274,17.25311363
0.832159466,9.01945839,0.000192952,0.003322768,1.358821723
0.832044303,3.855208384,0.000576169,0.000382737,8.443534982
0.831324918,12.92147751,0.000132449,0.005560323,4.518865555
0.831162519,1.653454991,0.000292921,0.000403367,10.54697793
0.831132236,5.193303212,0.000189955,0.00195299,13.6627136
0.831105357,2.56762661,0.000147079,0.000996093,4.582322145
0.8310958,3.772196274,0.000117179,0.001836961,12.15000009
0.831040489,8.918790431,0.000329344,0.00154561,13.9681295
0.831024402,7.247722599,0.000259508,0.001993885,4.065284549
0.831019438,2.174205743,0.000108231,0.001433178,1.036181698
0.830959311,11.01628566,0.000605132,0.001036812,2.200991042
0.830698357,17.8986548,0.000203493,0.004973934,1.065849838
