rad6 50,rad6 100
-0.002711162,0.004093991
-0.002712469,0.004100439
-0.002713747,0.004106899
-0.002714996,0.004113374
-0.002716217,0.004119862
-0.00271741,0.004126364
-0.002718573,0.00413288
-0.002719709,0.004139409
-0.002720816,0.004145951
-0.002721894,0.004152507
-0.002722944,0.004159077
-0.002723965,0.004165661
-0.002724959,0.004172258
-0.002725923,0.004178868
-0.00272686,0.004185493
-0.002727768,0.00419213
-0.002728648,0.004198782
-0.0027295,0.004205446
-0.002730324,0.004212125
-0.002731119,0.004218817
-0.002731887,0.004225522
-0.002732626,0.004232241
-0.002733337,0.004238974
-0.002734021,0.00424572
-0.002734676,0.004252479
-0.002735303,0.004259252
-0.002735902,0.004266039
-0.002736474,0.004272839
-0.002737017,0.004279652
-0.002737533,0.004286479
-0.002738021,0.00429332
-0.002738481,0.004300174
-0.002738913,0.004307041
-0.002739318,0.004313922
-0.002739694,0.004320816
-0.002740044,0.004327724
-0.002740365,0.004334645
-0.002740659,0.00434158
-0.002740925,0.004348528
-0.002741164,0.00435549
-0.002741376,0.004362465
-0.002741559,0.004369453
-0.002741716,0.004376455
-0.002741845,0.00438347
-0.002741946,0.004390499
-0.00274202,0.00439754
-0.002742067,0.004404596
-0.002742086,0.004411665
-0.002742079,0.004418747
-0.002742044,0.004425842
-0.002741981,0.004432951
-0.002741892,0.004440073
-0.002741775,0.004447208
-0.002741631,0.004454357
-0.00274146,0.004461519
-0.002741262,0.004468695
-0.002741037,0.004475884
-0.002740785,0.004483086
-0.002740506,0.004490301
-0.0027402,0.00449753
-0.002739867,0.004504772
-0.002739508,0.004512027
-0.002739121,0.004519296
-0.002738707,0.004526578
-0.002738267,0.004533873
-0.0027378,0.004541181
-0.002737306,0.004548503
-0.002736785,0.004555838
-0.002736238,0.004563186
-0.002735664,0.004570548
-0.002735064,0.004577922
-0.002734436,0.00458531
-0.002733783,0.004592711
-0.002733102,0.004600126
-0.002732395,0.004607553
-0.002731662,0.004614994
-0.002730902,0.004622448
-0.002730116,0.004629915
-0.002729304,0.004637395
-0.002728465,0.004644889
-0.002727599,0.004652395
-0.002726708,0.004659915
-0.00272579,0.004667448
-0.002724846,0.004674994
-0.002723875,0.004682553
-0.002722879,0.004690126
-0.002721856,0.004697711
-0.002720807,0.00470531
-0.002719732,0.004712921
-0.002718631,0.004720546
-0.002717504,0.004728184
-0.002716351,0.004735835
-0.002715171,0.004743499
-0.002713966,0.004751177
-0.002712735,0.004758867
-0.002711478,0.00476657
-0.002710196,0.004774287
-0.002708887,0.004782016
-0.002707552,0.004789759
-0.002706192,0.004797514
-0.002704806,0.004805283
-0.002703394,0.004813065
-0.002701957,0.004820859
-0.002700494,0.004828667
-0.002699005,0.004836488
-0.002697491,0.004844321
-0.002695951,0.004852168
-0.002694385,0.004860028
-0.002692794,0.0048679
-0.002691177,0.004875786
-0.002689535,0.004883685
-0.002687868,0.004891596
-0.002686175,0.004899521
-0.002684457,0.004907458
-0.002682713,0.004915409
-0.002680944,0.004923372
-0.00267915,0.004931348
-0.00267733,0.004939337
-0.002675485,0.00494734
-0.002673615,0.004955355
-0.00267172,0.004963383
-0.0026698,0.004971423
-0.002667854,0.004979477
-0.002665884,0.004987544
-0.002663888,0.004995623
-0.002661867,0.005003715
-0.002659822,0.005011821
-0.002657751,0.005019939
-0.002655655,0.00502807
-0.002653535,0.005036213
-0.002651389,0.00504437
-0.002649219,0.005052539
-0.002647024,0.005060721
-0.002644804,0.005068916
-0.002642559,0.005077124
-0.002640289,0.005085345
-0.002637995,0.005093578
-0.002635676,0.005101824
-0.002633332,0.005110083
-0.002630964,0.005118355
-0.002628571,0.005126639
-0.002626154,0.005134936
-0.002623712,0.005143246
-0.002621245,0.005151569
-0.002618754,0.005159905
-0.002616238,0.005168253
-0.002613698,0.005176614
-0.002611134,0.005184987
-0.002608545,0.005193373
-0.002605932,0.005201772
-0.002603295,0.005210184
-0.002600633,0.005218608
-0.002597947,0.005227045
-0.002595236,0.005235495
-0.002592502,0.005243957
-0.002589743,0.005252432
-0.00258696,0.00526092
-0.002584153,0.00526942
-0.002581322,0.005277933
-0.002578467,0.005286459
-0.002575587,0.005294997
-0.002572684,0.005303547
-0.002569757,0.005312111
-0.002566805,0.005320687
-0.00256383,0.005329275
-0.002560831,0.005337876
-0.002557808,0.00534649
-0.002554761,0.005355116
-0.00255169,0.005363755
-0.002548596,0.005372406
-0.002545477,0.00538107
-0.002542335,0.005389746
-0.00253917,0.005398435
-0.00253598,0.005407137
-0.002532767,0.005415851
-0.00252953,0.005424577
-0.00252627,0.005433316
-0.002522986,0.005442067
-0.002519679,0.005450831
-0.002516348,0.005459608
-0.002512993,0.005468397
-0.002509615,0.005477198
-0.002506214,0.005486012
-0.002502789,0.005494838
-0.002499341,0.005503676
-0.002495869,0.005512527
-0.002492374,0.005521391
-0.002488856,0.005530267
-0.002485315,0.005539155
-0.00248175,0.005548056
-0.002478162,0.005556969
-0.002474551,0.005565894
-0.002470917,0.005574832
-0.002467259,0.005583782
-0.002463579,0.005592745
-0.002459875,0.00560172
-0.002456149,0.005610707
-0.002452399,0.005619707
-0.002448626,0.005628718
-0.002444831,0.005637743
-0.002441012,0.005646779
-0.002437171,0.005655828
-0.002433306,0.005664889
-0.002429419,0.005673963
-0.002425509,0.005683048
-0.002421576,0.005692146
-0.00241762,0.005701256
-0.002413642,0.005710379
-0.002409641,0.005719514
-0.002405617,0.005728661
-0.00240157,0.00573782
-0.002397501,0.005746991
-0.002393409,0.005756175
-0.002389295,0.005765371
