btt 50,btt 100
0.003260889,0.001669069
0.003265341,0.001674198
0.003269798,0.001679335
0.00327426,0.001684481
0.003278728,0.001689635
0.0032832,0.001694799
0.003287678,0.001699971
0.003292161,0.001705151
0.003296648,0.001710341
0.003301142,0.001715539
0.00330564,0.001720745
0.003310143,0.001725961
0.003314652,0.001731185
0.003319166,0.001736417
0.003323685,0.001741659
0.003328209,0.001746909
0.003332739,0.001752168
0.003337273,0.001757435
0.003341813,0.001762711
0.003346359,0.001767996
0.003350909,0.00177329
0.003355465,0.001778592
0.003360026,0.001783903
0.003364592,0.001789223
0.003369163,0.001794551
0.00337374,0.001799889
0.003378322,0.001805234
0.00338291,0.001810589
0.003387502,0.001815952
0.0033921,0.001821324
0.003396703,0.001826705
0.003401312,0.001832094
0.003405926,0.001837492
0.003410545,0.001842899
0.00341517,0.001848314
0.0034198,0.001853739
0.003424435,0.001859171
0.003429076,0.001864613
0.003433722,0.001870063
0.003438373,0.001875522
0.00344303,0.00188099
0.003447692,0.001886467
0.00345236,0.001891952
0.003457032,0.001897446
0.003461711,0.001902948
0.003466395,0.00190846
0.003471084,0.00191398
0.003475778,0.001919508
0.003480478,0.001925046
0.003485184,0.001930592
0.003489895,0.001936147
0.003494611,0.001941711
0.003499333,0.001947283
0.00350406,0.001952864
0.003508793,0.001958454
0.003513531,0.001964053
0.003518275,0.00196966
0.003523024,0.001975276
0.003527779,0.001980901
0.003532539,0.001986534
0.003537305,0.001992176
0.003542076,0.001997827
0.003546853,0.002003487
0.003551635,0.002009155
0.003556423,0.002014832
0.003561216,0.002020518
0.003566015,0.002026212
0.003570819,0.002031916
0.003575629,0.002037628
0.003580445,0.002043349
0.003585266,0.002049078
0.003590093,0.002054816
0.003594925,0.002060563
0.003599763,0.002066319
0.003604606,0.002072083
0.003609455,0.002077856
0.00361431,0.002083638
0.00361917,0.002089429
0.003624036,0.002095228
0.003628908,0.002101036
0.003633785,0.002106853
0.003638668,0.002112679
0.003643556,0.002118513
0.00364845,0.002124356
0.00365335,0.002130208
0.003658255,0.002136068
0.003663166,0.002141937
0.003668083,0.002147815
0.003673006,0.002153702
0.003677934,0.002159598
0.003682868,0.002165502
0.003687807,0.002171415
0.003692752,0.002177336
0.003697703,0.002183267
0.00370266,0.002189206
0.003707622,0.002195154
0.00371259,0.002201111
0.003717564,0.002207076
0.003722543,0.00221305
0.003727529,0.002219033
0.00373252,0.002225025
0.003737517,0.002231025
0.003742519,0.002237034
0.003747527,0.002243052
0.003752541,0.002249079
0.003757561,0.002255114
0.003762587,0.002261158
0.003767618,0.002267211
0.003772656,0.002273273
0.003777699,0.002279343
0.003782747,0.002285422
0.003787802,0.00229151
0.003792863,0.002297606
0.003797929,0.002303712
0.003803001,0.002309826
0.003808079,0.002315949
0.003813163,0.00232208
0.003818252,0.002328221
0.003823348,0.00233437
0.003828449,0.002340528
0.003833556,0.002346694
0.00383867,0.00235287
0.003843788,0.002359054
0.003848913,0.002365246
0.003854044,0.002371448
0.003859181,0.002377658
0.003864323,0.002383877
0.003869472,0.002390105
0.003874626,0.002396342
0.003879786,0.002402587
0.003884952,0.002408841
0.003890124,0.002415104
0.003895302,0.002421376
0.003900486,0.002427656
0.003905676,0.002433945
0.003910872,0.002440243
0.003916074,0.00244655
0.003921281,0.002452865
0.003926495,0.002459189
0.003931715,0.002465522
0.00393694,0.002471864
0.003942172,0.002478214
0.003947409,0.002484573
0.003952653,0.002490941
0.003957903,0.002497317
0.003963158,0.002503703
0.00396842,0.002510097
0.003973687,0.0025165
0.003978961,0.002522912
0.00398424,0.002529332
0.003989526,0.002535761
0.003994818,0.002542199
0.004000115,0.002548646
0.004005419,0.002555101
0.004010729,0.002561565
0.004016045,0.002568038
0.004021367,0.00257452
0.004026694,0.00258101
0.004032028,0.002587509
0.004037369,0.002594017
0.004042715,0.002600534
0.004048067,0.002607059
0.004053425,0.002613593
